date,ref_name,ref,commit_sha,label,time,rss,vms
2023-07-19T09-11-39,main,refs/heads/main,375f1a91bcd193205b8ff8e00df4800aa151b934,Truth Tracking GSF,24.26372,521027584,714698752
2023-07-19T09-11-39,main,refs/heads/main,375f1a91bcd193205b8ff8e00df4800aa151b934,Truth Tracking KF,0.100837,23457792,152584192
2023-07-19T09-11-39,main,refs/heads/main,375f1a91bcd193205b8ff8e00df4800aa151b934,Vertexing,4.232092,663842816,842006528
2023-07-20T11-39-03,main,refs/heads/main,4e5afb2bf789ea77ee3e5344ba1d00ded50d2f16,CKF Tracking,34.726645,613433344,792252416
2023-07-20T11-39-03,main,refs/heads/main,4e5afb2bf789ea77ee3e5344ba1d00ded50d2f16,Simulation,65.251503,998301696,1159090176
2023-07-20T11-39-03,main,refs/heads/main,4e5afb2bf789ea77ee3e5344ba1d00ded50d2f16,Truth Tracking GSF,24.058112,520744960,718155776
2023-07-20T11-39-03,main,refs/heads/main,4e5afb2bf789ea77ee3e5344ba1d00ded50d2f16,Truth Tracking KF,1.711288,444153856,617979904
2023-07-20T11-39-03,main,refs/heads/main,4e5afb2bf789ea77ee3e5344ba1d00ded50d2f16,Vertexing,1.913258,446717952,614178816
2023-07-20T12-42-14,main,refs/heads/main,564d174b64ed6431bf0f6b7f715a673a97848910,CKF Tracking,14.426016,614699008,783450112
2023-07-20T12-42-14,main,refs/heads/main,564d174b64ed6431bf0f6b7f715a673a97848910,Simulation,6.956982,584466432,877117440
2023-07-20T12-42-14,main,refs/heads/main,564d174b64ed6431bf0f6b7f715a673a97848910,Truth Tracking GSF,23.276408,520323072,718241792
2023-07-20T12-42-14,main,refs/heads/main,564d174b64ed6431bf0f6b7f715a673a97848910,Truth Tracking KF,0.101129,22114304,152666112
2023-07-20T12-42-14,main,refs/heads/main,564d174b64ed6431bf0f6b7f715a673a97848910,Vertexing,2.117537,447234048,615489536
2023-07-20T14-06-59,main,refs/heads/main,7251c28f7692b402342693164087df3ec1fe512f,CKF Tracking,23.337561,608858112,791801856
2023-07-20T14-06-59,main,refs/heads/main,7251c28f7692b402342693164087df3ec1fe512f,Simulation,124.579057,998567936,1159139328
